run_id,model,data,latent_dim,lr,betas_0,gate_weight,recon_weight,tc_weight,fm_weight,elapsed_s,status,metric__zero_ratio_real,metric__zero_ratio_synthetic,metric__zero_ratio_diff,metric__mean_real,metric__mean_synthetic,metric__mean_diff,metric__std_real,metric__std_synthetic,metric__std_diff,metric__skewness_real,metric__skewness_synthetic,metric__skewness_diff,metric__kurtosis_real,metric__kurtosis_synthetic,metric__kurtosis_diff,metric__quantile_10_diff,metric__quantile_25_diff,metric__quantile_50_diff,metric__quantile_75_diff,metric__quantile_90_diff,metric__quantile_95_diff,metric__quantile_99_diff,metric__mean_quantile_diff,metric__autocorr_mae,metric__wasserstein_distance,metric__kl_divergence,metric__mmd,metric__ps,metric__ds,metric__lps,metric__lds
20,zits-gan,m5,32,0.0001,0.5,1.0,10.0,2.0,0.5,219.9,ok,0.5921944315899667,0.5487583561643835,0.04343607542558314,1.310631466863153,6.754177534246575,5.443546067383423,3.6336956717358913,7.804143179580043,4.170447507844152,11.503374271991726,0.4520372095904778,11.051337062401249,284.5672229888064,-1.501788494382615,286.069011483189,0.0,0.0,0.0,13.0,15.0,13.0,7.0,6.857142857142857,0.07715116085577772,12.076644738153236,4.382608159830575,0.0020000000054743146,1.3364970107018947,0.266,1.3563050678372384,0.49750000000000005
21,zits-gan,m5,128,0.0001,0.5,1.0,1.0,2.0,0.5,225.5,ok,0.5921944315899667,0.5496224657534247,0.04257196583654199,1.310631466863153,10.536631780821917,9.226000313958764,3.6336956717358913,11.716568974046655,8.082873302310764,11.503374271991726,0.22876484286970114,11.274609429122025,284.5672229888064,-1.926432060537794,286.4936550493442,0.0,0.0,0.0,23.0,21.0,18.0,9.0,10.142857142857142,0.06658552596718366,20.48193214762456,6.909738295990011,0.002000005239699529,1.3306693609654903,0.0,1.362197058403492,0.498
22,zits-gan,m5,128,5e-05,0.5,1.0,20.0,0.0,0.5,220.4,ok,0.5921944315899667,0.5693769863013699,0.02281744528859675,1.310631466863153,2.170716712328767,0.8600852454656143,3.6336956717358913,2.628781460775167,1.0049142109607243,11.503374271991726,0.591883125474802,10.911491146516925,284.5672229888064,-1.1974220402733895,285.7646450290798,0.0,0.0,0.0,4.0,3.0,1.0,7.0,2.142857142857143,0.08031486187386154,3.0660223637376554,0.4444752959509542,0.0020000000008265446,1.347015815114975,0.0,1.3592193295240402,0.48750000000000004
23,zits-gan,m5,32,5e-05,0.5,5.0,10.0,1.0,1.0,225.8,ok,0.5921944315899667,0.5696816438356165,0.022512787754350172,1.310631466863153,7.748148493150685,6.437517026287532,3.6336956717358913,9.30398844343027,5.670292771694379,11.503374271991726,0.5040913414713402,10.999282930520385,284.5672229888064,-1.5210946145951982,286.0883176034016,0.0,0.0,0.0,16.0,19.0,17.0,9.0,8.714285714285714,0.0751772432105025,15.092441821512146,5.603267996431611,0.00200000043528594,1.3064929364085198,0.0,1.3503910323560238,0.49050000000000005
24,zits-gan,m5,64,0.0002,0.0,10.0,5.0,0.0,2.0,259.3,ok,0.5921944315899667,0.8081512328767123,0.21595680128674566,1.310631466863153,1.137635616438356,0.17299585042479682,3.6336956717358913,2.7526257449719087,0.8810699267639825,11.503374271991726,2.474210050338586,9.02916422165314,284.5672229888064,5.285012322458213,279.2822106663482,0.0,0.0,0.0,1.0,3.0,2.0,4.0,1.4285714285714286,0.2141790216516209,3.378122950008317,0.4586285541327202,0.002000002481311816,1.385251708161831,0.0,1.332255137771368,0.4605
25,zits-gan,m5,32,5e-05,0.0,1.0,10.0,2.0,1.0,215.1,ok,0.5921944315899667,0.5250410958904109,0.06715333569955573,1.310631466863153,0.8397621917808219,0.470869275082331,3.6336956717358913,1.093481311712134,2.5402143600237572,11.503374271991726,1.6392032316581229,9.864171040333604,284.5672229888064,5.259897881887181,279.3073251069192,0.0,0.0,0.0,1.0,1.0,3.0,11.0,2.2857142857142856,0.04905346196785007,1.445790213609817,0.911895610980591,0.0020020289515894933,1.3294343334674836,0.0,1.3696024769544601,0.35550000000000004
26,zits-gan,m5,128,5e-05,0.5,10.0,1.0,0.5,2.0,225.2,ok,0.5921944315899667,0.5755408219178082,0.016653609672158454,1.310631466863153,10.158545753424658,8.847914286561505,3.6336956717358913,11.839852956797712,8.20615728506182,11.503374271991726,0.30962513491695665,11.19374913707477,284.5672229888064,-1.9015593807632172,286.4687823695696,0.0,0.0,0.0,23.0,21.0,18.0,9.0,10.142857142857142,0.08059515810791662,21.019738296810406,10.618077533623728,0.002000000133350747,1.3665846232891083,0.20099999999999996,1.3897749930739403,0.498
27,zits-gan,m5,64,5e-05,0.0,5.0,1.0,0.0,0.5,257.7,ok,0.5921944315899667,0.5635304109589041,0.028664020631062548,1.310631466863153,10.459260273972603,9.14862880710945,3.6336956717358913,11.891402051081975,8.257706379346084,11.503374271991726,0.25860267085272004,11.244771601139005,284.5672229888064,-1.9317296244070183,286.4989526132134,0.0,0.0,0.0,23.0,21.0,18.0,9.0,10.142857142857142,0.08080644575685286,21.05014217175466,10.192297844505921,0.00200000000912544,1.4333406228423118,0.017000000000000015,1.3739203318595887,0.499
28,zits-gan,m5,128,0.0002,0.5,10.0,10.0,1.0,0.5,216.6,ok,0.5921944315899667,0.5888016438356164,0.003392787754350257,1.310631466863153,0.7057802739726028,0.6048511928905501,3.6336956717358913,1.0210049907676886,2.6126906809682025,11.503374271991726,1.7299164017608313,9.773457870230894,284.5672229888064,4.789001651946522,279.7782213368599,0.0,0.0,0.0,0.0,1.0,3.0,11.0,2.142857142857143,0.05258683392908516,1.4974650085086951,0.9305735175691182,0.0020000002737969,1.3869777896761895,0.0,1.3757950536847114,0.29900000000000004
29,zits-gan,m5,128,0.0002,0.5,5.0,20.0,0.0,1.0,215.6,ok,0.5921944315899667,0.5756169863013698,0.016577445288596837,1.310631466863153,2.0034279452054795,0.6927964783423266,3.6336956717358913,2.497585305606339,1.1361103661295524,11.503374271991726,0.7144157644753165,10.78895850751641,284.5672229888064,-0.8792161156630249,285.44643910446945,0.0,0.0,0.0,3.0,3.0,0.0,7.0,1.8571428571428572,0.07578916143880227,2.7552228291576153,0.4284703344580666,0.002000000059894931,1.3259411590635777,0.012500000000000011,1.3366809127271175,0.4495
